State,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,LowDoc,DisbursementGross,GrAppv,SBA_Appv,Sector_Points,Approve
AZ,1,32,1.0,0,0,0,N,12.072541252905651,12.072541252905651,11.78485918045387,0,1
MN,20,4,1.0,0,0,0,Y,10.714417768752456,10.714417768752456,10.60905725309463,2,1
PA,5,1,2.0,0,0,0,N,11.002099841204238,11.002099841204238,10.645424897265505,5,1
CA,22,12,2.0,0,0,0,N,13.642346938955086,13.642346938955086,13.285671995016353,3,1
CT,24,54,1.0,0,0,0,N,13.9108207377686,13.9108207377686,13.527801818490264,0,1
KY,2,30,1.0,0,0,0,N,12.813117127036708,12.813117127036708,12.589973575722498,5,0
AZ,25,5,1.0,0,0,0,N,11.512925464970229,11.512925464970229,11.156250521031495,3,1
DE,5,7,1.0,0,0,0,N,12.206072645530174,12.206072645530174,12.01974306733868,2,1
IL,5,5,1.0,0,0,0,Y,10.819778284410283,10.819778284410283,10.6689553946757,2,1
CA,25,7,1.0,0,0,0,N,11.915051671812876,11.915051671812876,11.627369599361096,2,1
ND,20,4,2.0,4,0,0,N,12.421184025147118,12.421184025147118,12.421184025147118,0,1
MT,20,1,2.0,0,0,0,N,10.596634733096073,10.596634733096073,10.491274217438248,0,1
CA,25,3,1.0,0,0,0,N,13.38472764187182,13.38472764187182,13.028052697933088,0,1
TX,5,2,2.0,0,0,0,N,9.433483923290392,9.433483923290392,9.328123407632566,0,1
PA,7,31,1.0,0,0,0,N,10.126631103850338,10.126631103850338,9.838949031398556,0,1
NY,4,8,1.0,0,0,0,N,9.903487552536127,9.903487552536127,9.798127036878302,0,1
ID,7,40,1.0,0,0,0,N,11.178850352948738,11.178850352948738,11.016331423450962,0,1
NJ,25,12,1.0,0,0,0,N,12.58621994565405,12.58621994565405,12.298537873202267,3,1
WA,5,6,1.0,0,0,0,Y,10.714417768752456,10.714417768752456,10.60905725309463,0,1
CA,20,10,1.0,3,0,0,N,11.326595886778737,11.326595886778737,11.326595886778737,5,1
NH,25,4,1.0,0,0,0,N,12.43718436649356,12.43718436649356,12.14950229404178,0,1
IL,25,3,1.0,0,0,0,N,12.049418835484795,12.049418835484795,11.761736763033015,4,1
NC,5,1,1.0,0,0,0,Y,10.736396675471232,10.799575577092764,10.694215061434935,0,1
OH,22,8,1.0,0,0,0,N,12.388394202324127,12.388394202324127,12.100712129872347,5,1
TX,5,15,1.0,0,0,0,N,12.206072645530174,12.206072645530174,12.0435537160324,2,1
NV,20,6,1.0,4,2,0,N,11.820410164718188,11.820410164718188,11.820410164718188,0,1
PA,20,3,1.0,0,0,0,N,13.038981768465275,13.038981768465275,12.682306824526544,5,1
WI,7,4,1.0,0,0,0,N,11.203679214602609,11.203679214602609,10.847004270663875,2,1
WI,5,1,2.0,0,0,0,Y,9.740968623038354,9.740968623038354,9.635608107380529,0,1
TX,20,10,2.0,10,0,0,N,11.736069016284436,11.736069016284436,11.736069016284436,0,1
TN,10,8,1.0,0,0,0,N,11.77528972943772,11.77528972943772,11.57683879071388,5,1
LA,10,3,2.0,0,0,0,Y,11.289781913656018,11.289781913656018,11.184421397998191,2,0
WA,7,1,2.0,0,0,0,N,10.634845320859826,10.634845320859826,10.529479457908666,0,1
MO,7,1,2.0,0,0,0,Y,10.596634733096073,10.596634733096073,10.491274217438248,4,1
CA,10,6,1.0,0,0,0,N,12.765688433465597,12.765688433465597,12.551380730813786,0,1
KS,5,2,2.0,0,0,0,N,10.23995978915734,10.621327345686446,10.51596683002862,2,1
AZ,25,1,1.0,0,0,0,N,14.038654109278484,14.038654109278484,13.527828485512494,0,1
IA,10,7,1.0,0,0,0,N,13.122363377404328,13.122363377404328,12.89921982609012,5,1
TX,3,6,1.0,0,0,0,Y,10.126631103850338,10.126631103850338,10.021270588192513,0,1
MT,15,22,1.0,0,0,0,N,13.367659733359671,13.367659733359671,13.079977660907891,0,1
CA,7,33,1.0,0,0,0,N,12.611537753638338,12.611537753638338,12.449018824140564,0,1
IL,20,14,1.0,16,16,0,N,13.265597545490236,13.265597545490236,13.265597545490236,0,1
TX,7,1,1.0,0,0,0,Y,11.225243392518449,11.225243392518449,11.119882876860622,2,1
CO,4,20,1.0,0,0,0,N,13.134291948269604,13.134291948269604,12.92357091695395,0,1
VA,1,61,1.0,0,0,0,N,11.918390573078392,11.918390573078392,11.630708500626612,0,1
CA,9,1,2.0,0,0,0,N,10.596634733096073,10.596634733096073,10.491274217438248,0,1
MN,20,2,2.0,2,2,0,N,13.13626628257332,13.13626628257332,13.13626628257332,0,1
TX,15,1,2.0,0,0,0,N,11.306393179461216,11.306393179461216,11.083249628147003,0,1
TX,2,1,1.0,0,0,0,Y,8.987196820661973,8.987196820661973,8.881836305004146,0,1
MT,15,14,1.0,0,0,0,N,12.491251587763836,12.491251587763836,12.203569515312056,0,1
WA,20,24,1.0,0,0,0,N,12.319401330837175,12.319401330837175,12.031719258385396,0,1
WI,20,1,2.0,6,0,0,N,12.201060103706627,12.201060103706627,12.201060103706627,0,1
CO,20,33,1.0,0,0,0,N,13.399995114002609,13.399995114002609,13.112313041550829,0,1
CA,20,11,1.0,0,0,0,N,12.050587742689778,12.050587742689778,11.762905670237998,2,1
LA,15,6,1.0,0,0,0,Y,10.8434948110276,10.8434948110276,10.738134295369774,5,1
CT,10,44,1.0,0,0,0,N,11.918390573078392,11.918390573078392,11.719939634354557,4,1
ID,7,59,1.0,0,0,0,N,11.498826540590729,11.498826540590729,11.336307611092952,0,1
PA,5,2,2.0,0,0,0,Y,10.126631103850338,10.126631103850338,10.021270588192513,2,1
LA,20,70,2.0,0,0,0,N,13.369223455335854,13.369223455335854,13.081541382884074,0,1
LA,10,6,2.0,0,0,0,N,10.940224437486153,10.940224437486153,10.71708088617194,0,1
WA,5,13,1.0,0,0,0,N,10.184900011974314,10.184900011974314,10.079539496316489,0,1
TX,7,8,2.0,0,0,0,N,11.25156070083582,11.25156070083582,11.146200185177994,0,1
OH,15,12,1.0,0,0,0,N,12.429216196844385,12.429216196844385,12.141534124392605,0,1
FL,20,2,1.0,0,0,0,N,11.156250521031495,11.156250521031495,11.05089000537367,5,1
AL,7,3,1.0,0,0,0,Y,10.596634733096073,10.596634733096073,10.491274217438248,2,1
MO,1,1,1.0,0,0,0,N,10.126631103850338,10.126631103850338,9.838949031398556,0,1
PA,1,9,1.0,0,0,0,N,12.765688433465597,12.765688433465597,12.603169503967822,3,1
TX,7,4,1.0,0,0,0,Y,10.308952660644293,10.308952660644293,10.203592144986466,4,1
UT,4,13,1.0,0,0,0,N,13.764217263576723,13.764217263576723,13.407542319637992,1,1
TX,10,12,1.0,0,0,0,N,11.617285480294472,11.617285480294472,11.32960340784269,3,1
IA,7,3,2.0,0,0,0,N,10.126631103850338,10.126631103850338,10.021270588192513,0,1
HI,7,4,1.0,0,0,0,N,10.645424897265505,10.645424897265505,10.54006438160768,0,1
TX,7,6,1.0,0,0,0,N,11.37366339763672,11.37366339763672,11.233251243919977,3,1
ME,5,4,2.0,0,0,2,N,10.308952660644293,10.308952660644293,10.203592144986466,0,1
