failures,age,G2,G1,higher,goout,Mjob,Fjob,health,freetime,absences,Walc,famrel,Medu,Fedu,G3
0,16,F,F,yes,2,at_home,other,5,3,6,3,4,1,1,0
0,16,C,B,yes,5,other,other,5,2,8,5,4,4,3,0
0,18,F,F,yes,1,teacher,other,5,3,0,1,5,4,2,0
0,16,D,D,yes,5,at_home,other,5,5,0,4,4,1,1,0
1,19,F,F,no,5,at_home,services,2,5,0,3,5,1,1,0
0,15,D,C,yes,3,services,services,3,3,11,4,4,3,3,0
0,15,D,F,yes,5,other,services,5,5,11,3,5,1,2,0
0,17,B,C,yes,5,health,health,5,2,0,1,5,4,4,1
1,18,F,F,no,3,services,other,5,3,2,3,5,1,1,0
0,18,D,D,yes,4,at_home,services,1,1,8,5,4,1,2,0
0,16,F,F,yes,3,other,other,1,1,0,3,3,3,1,0
0,16,F,F,yes,1,at_home,other,2,2,2,1,4,3,4,0
1,16,F,F,yes,2,other,services,4,3,3,2,1,1,2,0
0,18,B,B,yes,4,teacher,services,1,3,4,1,4,3,1,1
0,17,D,D,yes,5,other,other,3,5,2,3,5,2,3,0
0,16,C,D,yes,2,teacher,health,5,1,0,5,4,4,4,0
0,16,C,C,yes,2,at_home,other,2,2,0,3,4,1,1,1
0,15,C,C,yes,4,services,other,1,5,4,1,4,3,3,0
0,16,F,F,no,5,at_home,other,3,4,0,3,4,1,2,0
0,19,C,C,yes,5,other,other,1,4,0,1,5,2,2,0
1,19,F,F,no,1,at_home,services,3,3,6,1,5,1,1,0
2,18,F,F,yes,4,other,other,5,4,3,2,3,1,1,0
1,18,F,F,no,1,services,other,5,3,0,2,2,3,2,0
0,18,D,D,yes,4,services,services,5,3,0,1,5,3,3,0
0,16,D,D,no,3,at_home,other,5,3,11,3,4,1,3,0
0,16,F,F,yes,3,services,services,4,4,6,4,5,2,2,0
0,15,B,C,yes,1,teacher,other,5,5,0,5,1,4,4,1
0,16,A,A,yes,2,at_home,services,5,5,0,2,4,2,3,1
0,18,D,F,no,3,at_home,services,3,3,3,3,4,1,2,0
0,17,D,F,no,5,other,other,3,5,8,5,5,2,1,0
0,18,B,B,yes,1,services,other,4,2,5,1,4,2,2,1
2,18,F,F,no,5,at_home,at_home,3,4,9,3,4,3,3,0
0,17,A,A,yes,3,other,other,5,3,0,3,4,4,2,1
0,18,D,F,yes,3,at_home,services,3,2,2,2,5,1,1,0
0,15,D,F,no,1,at_home,other,4,2,0,3,5,1,1,0
1,20,F,D,yes,4,at_home,services,3,3,8,4,3,3,3,0
0,16,D,D,yes,3,services,services,5,1,1,2,5,4,4,0
0,16,D,D,yes,3,other,other,5,3,2,2,4,2,2,0
0,15,D,B,yes,3,other,other,5,4,2,2,4,2,2,0
0,17,D,D,no,5,at_home,at_home,4,5,3,2,3,1,1,0
0,16,D,C,yes,2,other,other,1,3,0,1,4,1,1,0
0,15,D,D,yes,4,at_home,other,3,2,2,5,4,1,3,0
0,16,F,D,yes,3,other,other,5,4,2,1,5,2,1,0
1,18,F,F,no,5,other,other,3,5,0,1,5,2,2,0
0,17,F,D,yes,5,other,other,4,4,1,1,4,1,0,0
0,19,F,F,no,4,at_home,other,5,4,0,1,1,1,1,0
0,18,B,C,yes,3,teacher,services,2,4,1,4,5,4,4,1
0,16,A,A,yes,2,teacher,teacher,4,2,6,1,4,4,4,1
0,17,D,D,yes,5,at_home,at_home,3,5,2,2,4,1,1,0
0,18,F,F,yes,1,other,other,2,3,4,1,1,2,2,0
0,18,F,D,yes,3,at_home,at_home,5,3,6,4,4,1,1,0
0,18,A,B,yes,3,at_home,other,4,3,0,3,5,2,2,1
1,15,D,D,yes,3,at_home,services,2,1,6,1,4,1,1,0
1,17,F,F,no,5,other,other,1,3,12,5,5,1,2,0
1,19,F,F,yes,2,other,services,5,3,0,3,4,1,1,0
1,17,F,F,no,4,other,other,5,4,0,2,5,1,1,0
0,15,D,D,yes,3,at_home,services,4,4,0,2,5,1,1,0
0,17,D,D,yes,5,at_home,services,3,5,4,5,5,1,2,0
0,18,A,A,yes,2,at_home,services,4,3,0,1,5,1,1,1
1,18,C,C,yes,2,at_home,at_home,4,3,0,1,4,1,0,0
3,17,F,F,yes,3,health,other,5,3,2,3,3,4,4,0
1,15,F,F,yes,3,other,services,2,4,4,2,4,1,1,0
0,17,B,C,yes,2,other,other,1,1,0,2,4,3,2,0
1,17,F,F,yes,4,health,other,3,5,4,3,4,3,3,0
1,19,D,D,yes,2,services,other,5,4,4,2,5,2,3,0
0,18,B,A,yes,4,at_home,other,5,3,0,4,4,1,2,1
0,16,D,C,yes,3,other,other,2,2,0,2,3,0,2,0
2,16,F,F,yes,5,services,at_home,1,5,8,1,2,3,2,0
0,18,D,D,yes,2,other,other,4,3,4,2,4,1,1,0
1,17,D,D,yes,4,at_home,other,5,5,0,2,4,3,2,0
0,15,D,F,yes,2,at_home,other,2,4,0,3,4,2,1,0
0,16,D,F,yes,4,other,other,1,2,8,2,1,4,1,0
0,17,B,B,yes,3,services,other,5,2,0,2,1,3,2,1
1,17,F,D,yes,5,services,services,3,3,2,5,1,2,2,0
0,16,C,C,yes,1,other,teacher,3,3,0,1,4,4,4,0
0,16,C,B,yes,4,other,services,2,3,1,1,5,2,2,1
0,18,D,F,yes,5,other,other,5,5,8,5,2,3,2,0
0,16,F,F,yes,3,services,at_home,3,1,2,4,3,3,2,0
