,diffs,total_num,robustness,total_time,average_time,pred_accuracy,validity,proximity
m_0,133,4056,tensor(0.9672),0.056040048599243164,-1,0.9751108884811401,0.7254805564880371,6.2109479904174805
m_1,26,5836,tensor(0.9955),0.03672313690185547,-1,0.9761986136436462,0.9868150949478149,6.7988176345825195
m_2,1,5195,tensor(0.9998),0.03343963623046875,-1,0.9041122198104858,0.9967333078384399,6.487111568450928
m_3,16,4979,tensor(0.9968),0.03302407264709473,-1,0.8913872838020325,0.9939771294593811,6.398260116577148
m_4,25,4889,tensor(0.9949),0.031057357788085938,-1,0.9339738488197327,0.9721994996070862,6.380544185638428
m_5,4,5137,tensor(0.9992),0.03302335739135742,-1,0.905539333820343,0.9910593032836914,7.530837059020996
m_6,12,5160,tensor(0.9977),0.032896995544433594,-1,0.890007734298706,0.9883810877799988,7.253316402435303
m_7,13,5220,tensor(0.9975),0.03226923942565918,-1,0.8864637017250061,0.9839172959327698,6.817861557006836
m_8,1,6201,tensor(0.9998),0.03926706314086914,-1,0.8643903732299805,0.9921082258224487,6.5938005447387695
m_9,1,8268,tensor(0.9999),0.05118560791015625,-1,0.8676151633262634,0.9934892654418945,6.857389450073242
m_10,3,10068,tensor(0.9997),0.06491422653198242,-1,0.8864853978157043,0.9945425391197205,6.875528812408447
m_11,1,12081,tensor(0.9999),0.07439994812011719,-1,0.8513613939285278,0.9973516464233398,7.905941486358643
m_12,27,12778,tensor(0.9979),0.07879996299743652,-1,0.874735951423645,0.9707378149032593,6.357934951782227
m_13,1,12757,tensor(0.9999),0.07831954956054688,-1,0.8738731741905212,0.993415355682373,5.9992756843566895
m_14,15,6833,tensor(0.9978),0.04341864585876465,-1,0.8409190773963928,0.9530221223831177,6.565025806427002
m_15,9,2753,tensor(0.9967),0.019370079040527344,-1,0.6897929310798645,0.9796585440635681,6.57196569442749
