,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15
m_0,0.7244948148727417,0.3915722072124481,0.596599280834198,0.6392311453819275,0.48299655318260193,0.6202563047409058,0.530064046382904,0.36840808391571045,0.688270092010498,0.7299162149429321,0.55692458152771,0.5061606764793396,0.7673730850219727,0.4965500235557556,0.8799901604652405,0.26564809679985046
m_1,0.39880135655403137,0.9900684952735901,0.6015411019325256,0.26113012433052063,0.6352739930152893,0.1601027399301529,0.3222602605819702,0.3910958766937256,0.42277398705482483,0.3856164515018463,0.16815067827701569,0.3291095793247223,0.749315083026886,0.2602739632129669,0.6529109477996826,0.3402397334575653
m_2,0.48923903703689575,0.3126441240310669,0.9976940751075745,0.6510376930236816,0.5812836289405823,0.18620291352272034,0.12029208242893219,0.3347425162792206,0.6792851686477661,0.6039584875106812,0.14142966270446777,0.4825134575366974,0.7088778018951416,0.6662182807922363,0.5820522904396057,0.4725211262702942
m_3,0.5557116866111755,0.21582011878490448,0.8578598499298096,0.9897611141204834,0.5344308614730835,0.5233888626098633,0.21341095864772797,0.38225257396698,0.7717325687408447,0.8281469345092773,0.33989158272743225,0.49407750368118286,0.8060630559921265,0.9923710227012634,0.6783778071403503,0.7211403250694275
m_4,0.49243661761283875,0.3505723774433136,0.7655355930328369,0.5580539703369141,0.9760833978652954,0.36774325370788574,0.26635321974754333,0.38082584738731384,0.6882665753364563,0.64533931016922,0.2730989456176758,0.595257580280304,0.8430089950561523,0.60466068983078,0.6676205992698669,0.730989396572113
m_5,0.2905733585357666,0.25286686420440674,0.346355676651001,0.6388726830482483,0.6999028325080872,0.992614209651947,0.35743439197540283,0.36579203605651855,0.9580174684524536,0.9535471200942993,0.3683187663555145,0.5181729793548584,0.9486880302429199,0.666472315788269,0.6581146717071533,0.8551992177963257
m_6,0.5970178246498108,0.6597598791122437,0.8326878547668457,0.47095274925231934,0.9126645922660828,0.6584043502807617,0.9910922050476074,0.820100724697113,0.7966692447662354,0.8522463440895081,0.777885377407074,0.8841983079910278,0.8932997584342957,0.9132455587387085,0.9488768577575684,0.5859798789024353
m_7,0.576680064201355,0.5410683751106262,0.8989086747169495,0.6080796718597412,0.6323951482772827,0.6461803317070007,0.6147807836532593,0.9841087460517883,0.8087306022644043,0.6136320233345032,0.41929924488067627,0.4060884416103363,0.5659582614898682,0.9249473214149475,0.9452422261238098,0.7417193055152893
m_8,0.3461104929447174,0.29682719707489014,0.7271702289581299,0.5785150527954102,0.5490416884422302,0.4984699487686157,0.2617168724536896,0.36157190799713135,0.992591381072998,0.7199227213859558,0.2396521121263504,0.5276212096214294,0.9350942373275757,0.6815912127494812,0.5836688876152039,0.7020454406738281
m_9,0.6252712607383728,0.3584519028663635,0.6745840311050415,0.7134072780609131,0.583674967288971,0.5806607007980347,0.28671327233314514,0.38545936346054077,0.7188329100608826,0.9940921068191528,0.2884012460708618,0.49300700426101685,0.6662647724151611,0.7257053256034851,0.7076199650764465,0.6005546450614929
m_10,0.9219090938568115,0.8853939175605774,0.8732883334159851,0.9082159399986267,0.9052391052246094,0.9522722959518433,0.9941456913948059,0.9140702486038208,0.8618773818016052,0.8737844824790955,0.9945425391197205,0.9235959649085999,0.8460012078285217,0.9110934734344482,0.8867830634117126,0.8491764068603516
m_11,0.6545559763908386,0.5320698618888855,0.793180525302887,0.38897624611854553,0.7523793578147888,0.33791276812553406,0.4430191218852997,0.201771080493927,0.627493143081665,0.6208723187446594,0.3999006748199463,0.9966068267822266,0.6767359375953674,0.4185218811035156,0.8003807067871094,0.3994041085243225
m_12,0.41436508297920227,0.4793834686279297,0.5400986075401306,0.5418198704719543,0.6700571179389954,0.6932947635650635,0.6811673641204834,0.575463593006134,0.8570534586906433,0.4674907922744751,0.7376574873924255,0.7003364562988281,0.9705030918121338,0.714263379573822,0.6333619952201843,0.8723887205123901
m_13,0.7329309582710266,0.5170494914054871,0.788429856300354,0.9886336922645569,0.5959081053733826,0.6561887860298157,0.7358313202857971,0.7959551811218262,0.6946774125099182,0.7111389636993408,0.7365368008613586,0.6345535516738892,0.626166045665741,0.9941208958625793,0.7776907086372375,0.8462020754814148
m_14,0.7361334562301636,0.6069076657295227,0.5581735968589783,0.560076117515564,0.6464217901229858,0.6660324931144714,0.7198887467384338,0.7304258942604065,0.5833455324172974,0.6048587560653687,0.7490121722221375,0.7310112714767456,0.5428069829940796,0.7052538990974426,0.9552173018455505,0.7978925704956055
m_15,0.4838358163833618,0.4246276915073395,0.8020341396331787,0.7900472283363342,0.7864148020744324,0.5081729292869568,0.3730475902557373,0.5230657458305359,0.7831456661224365,0.6469306349754333,0.38467127084732056,0.7613512277603149,0.9306211471557617,0.9505993723869324,0.8216491341590881,0.9734834432601929
