,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15
m_0,0.9970428943634033,0.9940857291221619,0.9953178763389587,0.9815179705619812,0.9812715649604797,0.9805322885513306,0.9810251593589783,0.9805322885513306,0.9805322885513306,0.9805322885513306,0.9810251593589783,0.9805322885513306,0.9805322885513306,0.9805322885513306,0.9805322885513306,0.9889107942581177
m_1,0.6869863271713257,0.8888698816299438,0.8890410661697388,0.954623281955719,0.8720890283584595,0.994691789150238,0.9833903908729553,0.9734588861465454,0.9938356280326843,0.9743150472640991,0.9690068364143372,0.9910959005355835,0.9919520616531372,0.9936643838882446,0.9914383292198181,0.9287671446800232
m_2,0.9948116540908813,0.9959646463394165,0.9930822253227234,0.9848193526268005,0.9930822253227234,0.9748270511627197,0.9665641784667969,0.9815526604652405,0.9827055931091309,0.9848193526268005,0.9896233677864075,0.9809761643409729,0.9504227638244629,0.9848193526268005,0.9533051252365112,0.9938508868217468
m_3,0.9674764275550842,0.9708893895149231,0.9650672674179077,0.9745030999183655,0.9640634655952454,0.9734992980957031,0.9614534974098206,0.9712908864021301,0.9463962912559509,0.9518169164657593,0.9580405354499817,0.9700863361358643,0.9461955428123474,0.9548283219337463,0.9522184133529663,0.9684802293777466
m_4,0.9697465300559998,0.9850776791572571,0.9856909513473511,0.9844644069671631,0.9955028891563416,0.9961161017417908,0.9930498600006104,0.9950940012931824,0.9955028891563416,0.9940719604492188,0.9914145469665527,0.9930498600006104,0.9801716804504395,0.9903925061225891,0.9801716804504395,0.9922322034835815
m_5,0.9434402585029602,0.9609329700469971,0.9652089476585388,0.9677356481552124,0.9842565655708313,0.9889212846755981,0.9803692698478699,0.9893100261688232,0.9805636405944824,0.988143801689148,0.9895043969154358,0.9875607490539551,0.9624878764152527,0.991253674030304,0.9844509363174438,0.9852283596992493
m_6,0.6171572208404541,0.9204105138778687,0.9467467069625854,0.9279628396034241,0.9740511178970337,0.9868319034576416,0.9932222962379456,0.9943841695785522,0.9821843504905701,0.97850501537323,0.9748257398605347,0.9713400602340698,0.9436483383178711,0.9848954081535339,0.9368706345558167,0.9767621755599976
m_7,0.2963813841342926,0.8066245317459106,0.8788052797317505,0.7637373208999634,0.947539746761322,0.9730040431022644,0.9157572388648987,0.9596017599105835,0.9843001961708069,0.9691748023033142,0.9678345918655396,0.9797051548957825,0.9387325048446655,0.985448956489563,0.9402642250061035,0.9624736905097961
m_8,0.5603156685829163,0.9594137668609619,0.9579642415046692,0.9702045321464539,0.9529715180397034,0.9553873538970947,0.9789015650749207,0.9569979310035706,0.9792237281799316,0.9615074992179871,0.9352552890777588,0.8727653622627258,0.8333064913749695,0.9196327924728394,0.9036881923675537,0.900789201259613
m_9,0.3632746636867523,0.653002142906189,0.9011333584785461,0.8642392158508301,0.7317337989807129,0.9723896980285645,0.9617795944213867,0.9195803999900818,0.9758861660957336,0.9795032739639282,0.9764890074729919,0.9565951228141785,0.9522546529769897,0.9766095876693726,0.9193392992019653,0.8579696416854858
m_10,0.32833895087242126,0.7190911173820496,0.9405636191368103,0.9410597085952759,0.35572534799575806,0.9942448735237122,0.9647747278213501,0.41268107295036316,0.9656677842140198,0.9920619130134583,0.9938479661941528,0.5033736824989319,0.980055570602417,0.9950386881828308,0.9584242701530457,0.9771780371665955
m_11,0.978399395942688,0.9035835266113281,0.9374327659606934,0.8953902125358582,0.9592816233634949,0.879417359828949,0.8982040882110596,0.9794753193855286,0.8631962537765503,0.8868658542633057,0.9366878867149353,0.9980965256690979,0.8656790256500244,0.9392535090446472,0.8631134629249573,0.9529090523719788
m_12,0.564822793006897,0.8957045674324036,0.7988420128822327,0.7034660577774048,0.560910701751709,0.8430482745170593,0.9848212003707886,0.5610672235488892,0.9832563996315002,0.9863077998161316,0.6405602097511292,0.559971809387207,0.985525369644165,0.7769345045089722,0.9843517541885376,0.559971809387207
m_13,0.7242298126220703,0.8118680119514465,0.8821823596954346,0.8296621441841125,0.7845888733863831,0.9709963202476501,0.9874578714370728,0.7423375248908997,0.6289096474647522,0.9495179057121277,0.8012071847915649,0.8212745785713196,0.9753860831260681,0.974210262298584,0.6655169725418091,0.7731441855430603
m_14,0.5782233476638794,0.5842236280441284,0.6571052074432373,0.5827601552009583,0.7946729063987732,0.6276891827583313,0.640714168548584,0.6980828046798706,0.722815752029419,0.8311136960983276,0.9724864363670349,0.8917020559310913,0.9853651523590088,0.9779013395309448,0.985657811164856,0.9555100202560425
m_15,0.7569923996925354,0.9331638216972351,0.9418815970420837,0.8572466373443604,0.9673084020614624,0.9044678807258606,0.7984017729759216,0.9811115264892578,0.7718852162361145,0.9197239279747009,0.9894660115242004,0.9876498579978943,0.8616055250167847,0.9654921889305115,0.8848528861999512,0.9876498579978943
